date,equity
2026-04-22,104825.37
2026-04-23,104865.87
2026-04-24,104699.87
2026-04-27,104410.87
2026-04-28,104923.87
2026-04-29,103200.37
2026-04-30,103701.87
2026-05-01,103826.67
2026-05-04,103582.67
2026-05-05,103484.47
2026-05-06,103778.97
2026-05-07,103211.97
2026-05-08,103363.47
2026-05-11,103269.97
2026-05-12,103330.47
2026-05-13,103448.47
2026-05-14,104139.97
2026-05-15,103079.97
2026-05-18,103101.47
2026-05-19,103042.87
2026-05-20,103600.87
2026-05-21,104077.37
2026-05-22,104294.27
2026-05-26,104430.27
2026-05-27,104663.27
2026-05-28,105020.27
2026-05-29,105160.27
2026-06-01,105631.27
2026-06-02,105300.27
2026-06-03,104670.77
2026-06-04,104697.27
2026-06-05,102274.27
2026-06-08,103538.27
2026-06-09,103124.77
2026-06-10,102710.27
2026-06-11,104155.77
2026-06-12,105010.87
2026-06-15,105190.87
2026-06-16,104551.42
2026-06-17,103908.42
2026-06-18,103900.92
2026-06-22,104604.42
2026-06-23,104458.22
2026-06-24,104205.22
2026-06-25,104570.22
2026-06-26,104058.72
2026-06-29,103839.67
2026-06-30,103290.67
2026-07-01,102868.67
2026-07-02,101785.67
2026-07-06,103042.67
2026-07-07,102011.17
2026-07-08,102039.87
2026-07-09,103645.87
2026-07-10,103728.87
2026-07-13,102710.37
2026-07-14,102872.37
2026-07-15,102345.37
2026-07-16,101432.37
2026-07-17,100965.87
2026-07-20,100890.37
2026-07-21,102221.62
2026-07-22,102199.12
2026-07-23,101106.12
2026-07-24,101110.62
2026-07-27,101938.12
2026-07-28,101553.42
2026-07-29,99764.42
2026-07-30,101245.12
2026-07-31,101145.62
